Arrest Date,Location
2019-05-03,"(33.9543, -118.2827)"
2019-04-29,"(34.0508, -118.4592)"
2019-11-23,"(34.0477, -118.2047)"
2019-04-30,"(34.0907, -118.3384)"
2019-04-30,"(34.2149, -118.4674)"
2019-11-20,"(34.0632, -118.3634)"
2019-04-30,"(34.0578, -118.2916)"
2019-11-19,"(34.2003, -118.4002)"
2019-11-23,"(34.0264, -118.278)"
2019-11-15,"(34.2355, -118.6039)"
2019-11-23,"(34.0278, -118.281)"
2019-11-26,"(34.1837, -118.4465)"
2019-11-25,"(33.9955, -118.4745)"
2019-11-27,"(33.9601, -118.2827)"
2019-11-25,"(34.0554, -118.2745)"
2019-11-26,"(33.9746, -118.3158)"
2019-11-25,"(34.0417, -118.2443)"
2019-11-21,"(33.9798, -118.2827)"
2019-11-25,"(34.0605, -118.4193)"
2019-11-24,"(34.2416, -118.4371)"
2019-11-27,"(34.0344, -118.4336)"
2019-11-22,"(34.0174, -118.2621)"
2019-11-30,"(34.0618, -118.3004)"
2019-11-26,"(34.0553, -118.2079)"
2019-11-20,"(34.2907, -118.5285)"
2019-11-24,"(34.1673, -118.3816)"
2019-11-29,"(34.0998, -118.3288)"
2019-11-25,"(33.9737, -118.2739)"
2019-11-23,"(34.0609, -118.2535)"
2019-11-21,"(33.737, -118.2923)"
2019-11-26,"(34.0428, -118.2461)"
2019-11-22,"(34.2121, -118.4793)"
2019-11-20,"(33.9682, -118.309)"
2019-04-16,"(34.053, -118.2444)"
2019-04-26,"(34.0481, -118.2542)"
2019-04-26,"(34.0514, -118.2451)"
2019-04-26,"(34.048, -118.2577)"
2019-04-27,"(34.0438, -118.2547)"
2019-04-26,"(34.0552, -118.2322)"
2019-04-23,"(34.0562, -118.2673)"
2019-04-23,"(34.0601, -118.2761)"
2019-04-27,"(34.0601, -118.2761)"
2019-04-22,"(34.0597, -118.2795)"
2019-04-22,"(34.0597, -118.2795)"
2019-04-22,"(34.0597, -118.2795)"
2019-04-23,"(34.0601, -118.2761)"
2019-04-23,"(34.0601, -118.2761)"
2019-04-26,"(34.0569, -118.2689)"
2019-04-24,"(34.0596, -118.2749)"
2019-04-23,"(34.0691, -118.2759)"
2019-04-25,"(34.0498, -118.2754)"
2019-04-22,"(34.0601, -118.2761)"
2019-04-22,"(34.0601, -118.2761)"
2019-04-25,"(34.0601, -118.2761)"
2019-04-23,"(34.0601, -118.2761)"
2019-04-23,"(34.0601, -118.2761)"
2019-04-25,"(34.0601, -118.2761)"
2019-04-23,"(34.0601, -118.2761)"
2019-04-22,"(34.0601, -118.2761)"
2019-04-25,"(34.0601, -118.2761)"
2019-04-22,"(34.0601, -118.2761)"
2019-04-25,"(34.059, -118.2824)"
2019-04-22,"(34.0601, -118.2761)"
2019-04-25,"(34.062, -118.2804)"
2019-04-25,"(34.0601, -118.2761)"
2019-04-27,"(34.0601, -118.2761)"
2019-04-25,"(34.0601, -118.2761)"
2019-04-27,"(34.0601, -118.2761)"
2019-04-25,"(34.0601, -118.2761)"
2019-04-25,"(34.0601, -118.2761)"
2019-04-25,"(34.0601, -118.2761)"
2019-04-25,"(34.0601, -118.2761)"
2019-04-25,"(34.0601, -118.2761)"
2019-04-25,"(34.0601, -118.2761)"
2019-04-25,"(34.0601, -118.2761)"
2019-04-22,"(34.0601, -118.2761)"
2019-04-23,"(34.0601, -118.2761)"
2019-04-23,"(34.0601, -118.2761)"
2019-04-23,"(34.0601, -118.2761)"
2019-04-23,"(34.0601, -118.2761)"
2019-04-23,"(34.0601, -118.2761)"
2019-04-22,"(34.0601, -118.2761)"
2019-04-22,"(34.0601, -118.2761)"
2019-04-22,"(34.0601, -118.2761)"
2019-04-22,"(34.0601, -118.2761)"
2019-04-22,"(34.0601, -118.2761)"
2019-04-27,"(34.0529, -118.2819)"
2019-04-27,"(34.0529, -118.2819)"
2019-04-27,"(34.0524, -118.2835)"
2019-04-27,"(34.0551, -118.2727)"
2019-04-27,"(34.0524, -118.2835)"
2019-04-27,"(34.0551, -118.2727)"
2019-04-27,"(34.0146, -118.313)"
2019-04-26,"(34.0146, -118.313)"
2019-04-26,"(34.0146, -118.313)"
2019-04-26,"(34.0336, -118.289)"
2019-04-26,"(34.0336, -118.289)"
2019-04-26,"(34.0146, -118.313)"
2019-04-26,"(34.0146, -118.313)"
2019-04-26,"(34.0146, -118.313)"
2019-04-19,"(34.0571, -118.2084)"
2019-04-26,"(34.0867, -118.1768)"
2019-04-27,"(34.0736, -118.2156)"
2019-04-12,"(33.7677, -118.2813)"
2019-04-26,"(33.7978, -118.2885)"
2019-04-19,"(34.0962, -118.3316)"
2019-04-19,"(34.0962, -118.3316)"
2019-04-22,"(34.0981, -118.3136)"
2019-04-24,"(34.0999, -118.3115)"
2019-04-26,"(34.0926, -118.3234)"
2019-04-26,"(34.0926, -118.3234)"
2019-04-26,"(34.1017, -118.3245)"
2019-04-16,"(34.1766, -118.4589)"
2019-04-15,"(34.1721, -118.4443)"
2019-04-26,"(34.1867, -118.4487)"
2019-04-27,"(34.1517, -118.4531)"
2019-04-27,"(34.1731, -118.464)"
2019-04-27,"(34.1996, -118.4487)"
2019-04-27,"(34.1938, -118.4702)"
2019-04-27,"(34.2085, -118.4698)"
2019-04-21,"(34.1471, -118.478)"
2019-04-20,"(34.1717, -118.4757)"
2019-04-27,"(34.1351, -118.2153)"
2019-04-24,"(34.0932, -118.2939)"
2019-04-24,"(34.0932, -118.2939)"
2019-04-24,"(34.0932, -118.2939)"
2019-04-20,"(33.9774, -118.2827)"
2019-04-19,"(33.9792, -118.2893)"
2019-04-24,"(33.9933, -118.4765)"
2019-04-24,"(33.9881, -118.4725)"
2019-04-24,"(33.9933, -118.4765)"
2019-04-24,"(33.9911, -118.471)"
2019-04-26,"(33.9918, -118.4791)"
2019-04-25,"(33.9958, -118.4815)"
2019-04-25,"(33.994, -118.4798)"
2019-04-25,"(33.9843, -118.4643)"
2019-04-25,"(33.9843, -118.4643)"
2019-04-25,"(33.9843, -118.4643)"
2019-04-25,"(33.988, -118.4703)"
2019-04-27,"(34.1722, -118.3844)"
2019-04-25,"(34.1887, -118.3877)"
2019-04-25,"(34.1903, -118.3877)"
2019-04-18,"(34.2536, -118.5973)"
2019-04-17,"(34.2536, -118.5973)"
2019-04-17,"(34.2536, -118.5973)"
2019-04-17,"(34.2536, -118.5973)"
2019-04-17,"(34.2536, -118.5973)"
2019-04-18,"(34.2536, -118.5973)"
2019-04-17,"(34.2536, -118.5973)"
2019-04-17,"(34.2536, -118.5973)"
2019-04-17,"(34.2536, -118.5973)"
2019-04-17,"(34.2536, -118.5973)"
2019-04-17,"(34.2536, -118.5973)"
2019-04-18,"(34.2536, -118.5973)"
2019-04-18,"(34.2536, -118.5973)"
2019-04-27,"(34.2757, -118.5144)"
2019-04-18,"(34.2231, -118.4677)"
2019-04-18,"(34.2247, -118.4677)"
2019-04-25,"(34.3064, -118.4685)"
2019-04-14,"(34.2265, -118.4565)"
2019-04-14,"(34.2265, -118.4565)"
2019-04-16,"(34.2338, -118.472)"
2019-04-18,"(34.2427, -118.4502)"
2019-04-18,"(34.2427, -118.4502)"
2019-04-18,"(34.2427, -118.4502)"
2019-04-18,"(34.2427, -118.4502)"
2019-04-18,"(34.2134, -118.4488)"
2019-04-18,"(34.2134, -118.4488)"
2019-04-26,"(34.2214, -118.4677)"
2019-04-26,"(34.2288, -118.4655)"
2019-04-26,"(34.2216, -118.4488)"
2019-04-25,"(34.2282, -118.4575)"
2019-04-25,"(34.2282, -118.4575)"
2019-04-26,"(34.2427, -118.4502)"
2019-04-23,"(34.2231, -118.4677)"
2019-04-23,"(34.2231, -118.4677)"
2019-04-22,"(34.1828, -118.6102)"
2019-03-10,"(34.3035, -118.4463)"
2019-03-31,"(34.0385, -118.2437)"
2019-04-25,"(34.1883, -118.6274)"
2019-04-27,"(34.022, -118.246)"
2019-01-02,"(34.0237, -118.284)"
2019-01-02,"(34.098, -118.3441)"
2019-01-02,"(34.1016, -118.3387)"
2019-01-03,"(34.0783, -118.3441)"
2019-01-03,"(33.9736, -118.333)"
2019-01-04,"(33.991, -118.2958)"
2019-01-05,"(33.9532, -118.2564)"
2019-01-05,"(33.9575, -118.3916)"
2019-01-05,"(33.9314, -118.416)"
2019-01-09,"(33.9619, -118.4455)"
2019-01-09,"(34.1857, -118.5709)"
2019-01-10,"(34.0029, -118.274)"
2019-01-13,"(34.0296, -118.2937)"
2019-01-16,"(34.0326, -118.3434)"
2019-01-18,"(34.0412, -118.3528)"
2019-01-18,"(34.0846, -118.3464)"
2019-01-19,"(34.0473, -118.2601)"
2019-01-21,"(34.0123, -118.4184)"
2019-01-22,"(33.942, -118.4095)"
2019-01-23,"(34.0073, -118.298)"
2019-01-25,"(33.944, -118.4073)"
2019-01-12,"(34.0167, -118.2811)"
2019-01-13,"(33.9456, -118.2826)"
2019-01-24,"(34.0652, -118.2899)"
2019-01-27,"(34.0565, -118.2724)"
2019-01-29,"(33.9689, -118.2803)"
2019-02-01,"(34.0938, -118.3922)"
2019-02-03,"(34.0231, -118.3692)"
2019-02-07,"(33.9751, -118.2918)"
2019-02-08,"(33.9748, -118.2614)"
2019-02-08,"(33.9819, -118.2848)"
2019-02-08,"(34.1016, -118.3387)"
2019-02-11,"(33.942, -118.4095)"
2019-02-12,"(34.3089, -118.4613)"
2019-02-12,"(34.2661, -118.6153)"
2019-02-13,"(33.9773, -118.2892)"
2019-02-14,"(34.0761, -118.3563)"
